food_name,cost,amount,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
NATUREMADE(ネイチャーメイド) 大塚製薬スーパーマルチビタミン&ミネラル 120粒 120日分,16.0,1.00,個,3.36,0.0,0.0,0.0,0.0,0.656,0.0,375.0,10.0,9.0,0.0,1.5,1.7,15.0,2.0,3.0,408.0,6.0,50.0,125.0,0.0,0.0,200.0,100.0,0.0,4.0,6.0,0.6,0.0,0.0,50.0,20.0,0.0
こむぎ　［小麦粉］　中力粉　2等,96.0,600.00,g,2076.0,53.400000000000006,2.46,5.16,0.30000000000000004,438.59999999999997,12.600000000000001,0.0,0.0,4.800000000000001,0.0,1.32,0.24,7.199999999999999,0.42000000000000004,0.0,72.0,3.96,15.600000000000001,0.0,0.0,660.0,144.0,156.0,480.0,6.6000000000000005,3.5999999999999996,0.8400000000000001,4.62,0.0,42.0,12.0,60.0
だいず　［その他］　おから　乾燥,12.0,40.00,g,133.20000000000002,8.08,0.776,2.648,0.42800000000000005,0.8800000000000001,17.44,0.0,0.0,0.6000000000000001,12.0,0.168,0.044000000000000004,0.32000000000000006,0.09200000000000001,0.0,21.200000000000003,0.472,6.4,0.0,0.0,520.0,124.0,60.0,152.0,1.9600000000000002,0.9199999999999999,0.21200000000000002,0.6080000000000001,1.6,1.6,1.6,68.0
鶏卵　全卵　生,15.0,50.00,g,71.0,5.65,1.56,0.66,0.055,0.15,0.0,105.0,1.9,0.65,6.0,0.03,0.185,0.05,0.045,0.55,24.5,0.58,12.0,0.0,0.2,65.0,23.0,5.0,85.0,0.75,0.55,0.025,0.01,16.5,12.0,0.0,2.0
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,22.0,200.00,g,84.0,6.8,1.34,0.06,0.0,10.2,0.0,26.0,0.0,0.0,0.0,0.08,0.36,0.2,0.08,0.8,0.0,1.04,4.0,0.0,0.4,380.0,260.0,28.0,180.0,0.2,0.8,0.02,0.02,38.0,6.0,0.0,8.0
＜魚類＞　（さば類）　まさば　水煮,23.833385,23.83,g,60.29846405000001,4.671343460000001,1.4586031620000002,0.14300031,0.7245349040000001,0.071500155,0.0,7.38834935,1.0248355550000001,0.4766677,0.0,0.0595834625,0.071500155,2.6216723500000003,0.114400248,4.52834315,3.09834005,0.1787503875,2.025837725,0.0,0.047666770000000004,66.733478,1.66833695,6.91168165,50.0501085,0.309834005,0.26216723500000005,0.033366739000000006,0.0023833385,5.481678550000001,15.730034100000001,1.4300031,0.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,63.2399166,90.34,g,206.88487002,14.00312439,4.6887881022,2.0417458788,0.0993770118,0.0,0.0,65.04677136,0.090342738,0.180685476,45.171369,0.045171369,0.07227419040000001,7.1370763020000005,0.316199583,0.271028214,4.5171369,0.8763245586,0.0,0.90342738,0.090342738,171.6512022,3.61370952,18.0685476,108.4112856,0.271028214,0.632399166,0.045171369,0.009034273800000001,0.0,0.0,0.0,0.0
total,248.07330159999998,"","",2634.74333407,92.60446785,12.283391264199999,10.7127461888,1.6069119158000003,450.55750015499996,30.040000000000003,578.43512071,13.015178293000002,15.707353176000002,63.171369,3.2027548315000005,2.6727743453999997,32.528748652000004,3.067599831,9.149371363999999,533.3154769500001,13.1070749461,90.025837725,125.90342738,0.7380095080000001,1863.3846802,756.2820464700001,373.98022925,1055.4613941,14.090862219000002,12.764566401000002,1.775538108,5.269417612299999,61.58167855,127.33003409999999,35.0300031,138.0
achievement_rate (%),,,,109.30876327000554,184.5169969613948,,99.9999999793978,99.99999920026363,,150.20000000000002,68.0511906717647,144.61309214444447,241.65158732307694,,291.1595301363636,167.04839658749998,216.85832434666668,204.5066554,228.73428409999997,222.2147820625,218.45124910166666,180.05167545,125.90342738,,,94.53525580875001,109.99418507352941,105.54613941,201.29803170000002,141.82851556666668,221.9422635,150.5547889228571,,424.433447,350.300031,459.99999999999994
