nutrient_id,lower,upper,unit
energy,2410.367892976589,,kcal
protein,50.1875,,g
saturated_fatty_acids,,18.74730583426236,g
n6_fatty_acids,10.712746191007062,,g
n3_fatty_acids,1.6069119286510594,,g
carbohydrate,,,g
fiber,20.0,,g/d
vitamin_a,850.0,2700.0,µgRAE/d
vitamin_d,9.0,100.0,µg/d
vitamin_e,6.5,800.0,mg/d
vitamin_k,150.0,,µg/d
vitamin_b1,1.1,,mg/d
vitamin_b2,1.6,,mg/d
niacin,15.0,,mgNE/d
niacin_amide,,300.0,mg/d
niacin_acid,,80.0,mg/d
vitamin_b6,1.5,55.0,mg/d
vitamin_b12,4.0,,µg/d
folate,240.0,900.0,µg/d
folic_acid,,,µg/d
pantothenic_acid,6.0,,mg/d
biotin,50.0,,µg/d
vitamin_c,100.0,,mg/d
sodium,600.0,,mg/d
salt_equivalent,1.5,7.5,g/d
potassium,2500.0,,mg/d
calcium,800.0,2500.0,mg/d
magnesium,340.0,,mg/d
phosphorus,1000.0,3000.0,mg/d
iron,7.0,,mg/d
zinc,9.0,40.0,mg/d
copper,0.8,7.0,mg/d
manganese,3.5,11.0,mg/d
iodine,140.0,3000.0,µg/d
selenium,30.0,400.0,µg/d
chromium,10.0,500.0,µg/d
molybdenum,30.0,600.0,µg/d
